factor_name_list,factor_name_ROC
EIF2AK2;IFI44;IFIT3;IFITM3;TRIM22,0.5
EIF2AK2;IFI44;IFIT3;IFITM3;XAF1,0.5
EIF2AK2;IFI44;IFIT3;IFITM3;ZBP1,0.5
EIF2AK2;IFI44;IFIT3;PARP9;PRIC285,0.556
EIF2AK2;IFI44;IFIT3;PARP9;TRIM22,0.5
EIF2AK2;IFI44;IFIT3;PARP9;XAF1,0.472
EIF2AK2;IFI44;IFIT3;PARP9;ZBP1,0.5
EIF2AK2;IFI44;IFIT3;PRIC285;TRIM22,0.5
EIF2AK2;IFI44;IFIT3;PRIC285;XAF1,0.522
EIF2AK2;IFI44;IFIT3;PRIC285;ZBP1,0.55
EIF2AK2;IFI44;IFIT3;TRIM22;XAF1,0.5
EIF2AK2;IFI44;IFIT3;TRIM22;ZBP1,0.5
EIF2AK2;IFI44;IFIT3;XAF1;ZBP1,0.467
EIF2AK2;IFI44;IFITM3;PARP9;PRIC285,0.477
EIF2AK2;IFI44;IFITM3;PARP9;TRIM22,0.5
EIF2AK2;IFI44;IFITM3;PARP9;XAF1,0.478
EIF2AK2;IFI44;IFITM3;PARP9;ZBP1,0.478
EIF2AK2;IFI44;IFITM3;PRIC285;TRIM22,0.5
EIF2AK2;IFI44;IFITM3;PRIC285;XAF1,0.423
EIF2AK2;IFI44;IFITM3;PRIC285;ZBP1,0.467
EIF2AK2;IFI44;IFITM3;TRIM22;XAF1,0.5
EIF2AK2;IFI44;IFITM3;TRIM22;ZBP1,0.5
EIF2AK2;IFI44;IFITM3;XAF1;ZBP1,0.467
EIF2AK2;IFI44;PARP9;PRIC285;TRIM22,0.5
EIF2AK2;IFI44;PARP9;PRIC285;XAF1,0.771
EIF2AK2;IFI44;PARP9;PRIC285;ZBP1,0.777
EIF2AK2;IFI44;PARP9;TRIM22;XAF1,0.5
EIF2AK2;IFI44;PARP9;TRIM22;ZBP1,0.5
EIF2AK2;IFI44;PARP9;XAF1;ZBP1,0.78
EIF2AK2;IFI44;PRIC285;TRIM22;XAF1,0.5
EIF2AK2;IFI44;PRIC285;TRIM22;ZBP1,0.5
EIF2AK2;IFI44;PRIC285;XAF1;ZBP1,0.677
EIF2AK2;IFI44;TRIM22;XAF1;ZBP1,0.5
EIF2AK2;IFI44L;IFIT3;IFITM3;PARP9,0.5
EIF2AK2;IFI44L;IFIT3;IFITM3;PRIC285,0.5
EIF2AK2;IFI44L;IFIT3;IFITM3;TRIM22,0.5
EIF2AK2;IFI44L;IFIT3;IFITM3;XAF1,0.5
EIF2AK2;IFI44L;IFIT3;IFITM3;ZBP1,0.5
EIF2AK2;IFI44L;IFIT3;PARP9;PRIC285,0.556
EIF2AK2;IFI44L;IFIT3;PARP9;TRIM22,0.5
EIF2AK2;IFI44L;IFIT3;PARP9;XAF1,0.5
EIF2AK2;IFI44L;IFIT3;PARP9;ZBP1,0.556
EIF2AK2;IFI44L;IFIT3;PRIC285;TRIM22,0.5
EIF2AK2;IFI44L;IFIT3;PRIC285;XAF1,0.522
EIF2AK2;IFI44L;IFIT3;PRIC285;ZBP1,0.55
EIF2AK2;IFI44L;IFIT3;TRIM22;XAF1,0.5
EIF2AK2;IFI44L;IFIT3;TRIM22;ZBP1,0.5
EIF2AK2;IFI44L;IFIT3;XAF1;ZBP1,0.522
EIF2AK2;IFI44L;IFITM3;PARP9;PRIC285,0.533
EIF2AK2;IFI44L;IFITM3;PARP9;TRIM22,0.5
EIF2AK2;IFI44L;IFITM3;PARP9;XAF1,0.478
EIF2AK2;IFI44L;IFITM3;PARP9;ZBP1,0.477
EIF2AK2;IFI44L;IFITM3;PRIC285;TRIM22,0.5
EIF2AK2;IFI44L;IFITM3;PRIC285;XAF1,0.478
EIF2AK2;IFI44L;IFITM3;PRIC285;ZBP1,0.533
EIF2AK2;IFI44L;IFITM3;TRIM22;XAF1,0.5
EIF2AK2;IFI44L;IFITM3;TRIM22;ZBP1,0.5
EIF2AK2;IFI44L;IFITM3;XAF1;ZBP1,0.495
EIF2AK2;IFI44L;PARP9;PRIC285;TRIM22,0.5
EIF2AK2;IFI44L;PARP9;PRIC285;XAF1,0.717
EIF2AK2;IFI44L;PARP9;PRIC285;ZBP1,0.736
EIF2AK2;IFI44L;PARP9;TRIM22;XAF1,0.5
EIF2AK2;IFI44L;PARP9;TRIM22;ZBP1,0.5
EIF2AK2;IFI44L;PARP9;XAF1;ZBP1,0.731
EIF2AK2;IFI44L;PRIC285;TRIM22;XAF1,0.5
EIF2AK2;IFI44L;PRIC285;TRIM22;ZBP1,0.5
EIF2AK2;IFI44L;PRIC285;XAF1;ZBP1,0.656
EIF2AK2;IFI44L;TRIM22;XAF1;ZBP1,0.5
EIF2AK2;IFIT3;IFITM3;PARP9;PRIC285,0.5
EIF2AK2;IFIT3;IFITM3;PARP9;TRIM22,0.5
EIF2AK2;IFIT3;IFITM3;PARP9;XAF1,0.5
EIF2AK2;IFIT3;IFITM3;PARP9;ZBP1,0.5
EIF2AK2;IFIT3;IFITM3;PRIC285;TRIM22,0.5
EIF2AK2;IFIT3;IFITM3;PRIC285;XAF1,0.5
EIF2AK2;IFIT3;IFITM3;PRIC285;ZBP1,0.5
EIF2AK2;IFIT3;IFITM3;TRIM22;XAF1,0.5
EIF2AK2;IFIT3;IFITM3;TRIM22;ZBP1,0.5
EIF2AK2;IFIT3;IFITM3;XAF1;ZBP1,0.5
EIF2AK2;IFIT3;PARP9;PRIC285;TRIM22,0.5
EIF2AK2;IFIT3;PARP9;PRIC285;XAF1,0.528
EIF2AK2;IFIT3;PARP9;PRIC285;ZBP1,0.528
EIF2AK2;IFIT3;PARP9;TRIM22;XAF1,0.5
EIF2AK2;IFIT3;PARP9;TRIM22;ZBP1,0.5
EIF2AK2;IFIT3;PARP9;XAF1;ZBP1,0.472
EIF2AK2;IFIT3;PRIC285;TRIM22;XAF1,0.5
EIF2AK2;IFIT3;PRIC285;TRIM22;ZBP1,0.5
EIF2AK2;IFIT3;PRIC285;XAF1;ZBP1,0.522
EIF2AK2;IFIT3;TRIM22;XAF1;ZBP1,0.5
EIF2AK2;IFITM3;PARP9;PRIC285;TRIM22,0.5
EIF2AK2;IFITM3;PARP9;PRIC285;XAF1,0.478
EIF2AK2;IFITM3;PARP9;PRIC285;ZBP1,0.478
EIF2AK2;IFITM3;PARP9;TRIM22;XAF1,0.5
EIF2AK2;IFITM3;PARP9;TRIM22;ZBP1,0.5
EIF2AK2;IFITM3;PARP9;XAF1;ZBP1,0.478
EIF2AK2;IFITM3;PRIC285;TRIM22;XAF1,0.5
EIF2AK2;IFITM3;PRIC285;TRIM22;ZBP1,0.5
EIF2AK2;IFITM3;PRIC285;XAF1;ZBP1,0.478
EIF2AK2;IFITM3;TRIM22;XAF1;ZBP1,0.5
EIF2AK2;PARP9;PRIC285;TRIM22;XAF1,0.5
EIF2AK2;PARP9;PRIC285;TRIM22;ZBP1,0.5
EIF2AK2;PARP9;PRIC285;XAF1;ZBP1,0.776
EIF2AK2;PARP9;TRIM22;XAF1;ZBP1,0.5
EIF2AK2;PRIC285;TRIM22;XAF1;ZBP1,0.5
IFI44;IFI44L;IFIT3;IFITM3;PARP9,0.5
IFI44;IFI44L;IFIT3;IFITM3;PRIC285,0.5
IFI44;IFI44L;IFIT3;IFITM3;TRIM22,0.5
IFI44;IFI44L;IFIT3;IFITM3;XAF1,0.5
IFI44;IFI44L;IFIT3;IFITM3;ZBP1,0.5
IFI44;IFI44L;IFIT3;PARP9;PRIC285,0.556
IFI44;IFI44L;IFIT3;PARP9;TRIM22,0.5
IFI44;IFI44L;IFIT3;PARP9;XAF1,0.472
IFI44;IFI44L;IFIT3;PARP9;ZBP1,0.444
IFI44;IFI44L;IFIT3;PRIC285;TRIM22,0.5
IFI44;IFI44L;IFIT3;PRIC285;XAF1,0.522
