factor_name_list,factor_name_ROC
IFI44L;IFIT3;PARP9;ZBP1,0.896
IFI44L;IFIT3;PRIC285;TRIM22,0.895
IFI44L;IFIT3;PRIC285;XAF1,0.923
IFI44L;IFIT3;PRIC285;ZBP1,0.895
IFI44L;IFIT3;TRIM22;XAF1,0.879
IFI44L;IFIT3;TRIM22;ZBP1,0.863
IFI44L;IFIT3;XAF1;ZBP1,0.863
IFI44L;IFITM3;PARP9;PRIC285,0.915
IFI44L;IFITM3;PARP9;TRIM22,0.874
IFI44L;IFITM3;PARP9;XAF1,0.895
IFI44L;IFITM3;PARP9;ZBP1,0.859
IFI44L;IFITM3;PRIC285;TRIM22,0.892
IFI44L;IFITM3;PRIC285;XAF1,0.919
IFI44L;IFITM3;PRIC285;ZBP1,0.896
IFI44L;IFITM3;TRIM22;XAF1,0.881
IFI44L;IFITM3;TRIM22;ZBP1,0.863
IFI44L;IFITM3;XAF1;ZBP1,0.861
IFI44L;PARP9;PRIC285;TRIM22,0.888
IFI44L;PARP9;PRIC285;XAF1,0.907
IFI44L;PARP9;PRIC285;ZBP1,0.905
IFI44L;PARP9;TRIM22;XAF1,0.889
IFI44L;PARP9;TRIM22;ZBP1,0.853
IFI44L;PARP9;XAF1;ZBP1,0.863
IFI44L;PRIC285;TRIM22;XAF1,0.909
IFI44L;PRIC285;TRIM22;ZBP1,0.887
IFI44L;PRIC285;XAF1;ZBP1,0.901
IFI44L;TRIM22;XAF1;ZBP1,0.857
IFIT3;IFITM3;PARP9;PRIC285,0.541
IFIT3;IFITM3;PARP9;TRIM22,0.495
IFIT3;IFITM3;PARP9;XAF1,0.6
IFIT3;IFITM3;PARP9;ZBP1,0.445
IFIT3;IFITM3;PRIC285;TRIM22,0.551
IFIT3;IFITM3;PRIC285;XAF1,0.646
IFIT3;IFITM3;PRIC285;ZBP1,0.602
IFIT3;IFITM3;TRIM22;XAF1,0.577
IFIT3;IFITM3;TRIM22;ZBP1,0.449
IFIT3;IFITM3;XAF1;ZBP1,0.526
IFIT3;PARP9;PRIC285;TRIM22,0.541
IFIT3;PARP9;PRIC285;XAF1,0.682
IFIT3;PARP9;PRIC285;ZBP1,0.538
IFIT3;PARP9;TRIM22;XAF1,0.626
IFIT3;PARP9;TRIM22;ZBP1,0.445
IFIT3;PARP9;XAF1;ZBP1,0.529
IFIT3;PRIC285;TRIM22;XAF1,0.655
IFIT3;PRIC285;TRIM22;ZBP1,0.81
IFIT3;PRIC285;XAF1;ZBP1,0.691
IFIT3;TRIM22;XAF1;ZBP1,0.528
IFITM3;PARP9;PRIC285;TRIM22,0.541
IFITM3;PARP9;PRIC285;XAF1,0.639
IFITM3;PARP9;PRIC285;ZBP1,0.544
IFITM3;PARP9;TRIM22;XAF1,0.598
IFITM3;PARP9;TRIM22;ZBP1,0.445
IFITM3;PARP9;XAF1;ZBP1,0.527
IFITM3;PRIC285;TRIM22;XAF1,0.648
IFITM3;PRIC285;TRIM22;ZBP1,0.548
IFITM3;PRIC285;XAF1;ZBP1,0.687
IFITM3;TRIM22;XAF1;ZBP1,0.523
PARP9;PRIC285;TRIM22;XAF1,0.647
PARP9;PRIC285;TRIM22;ZBP1,0.539
PARP9;PRIC285;XAF1;ZBP1,0.674
PARP9;TRIM22;XAF1;ZBP1,0.525
PRIC285;TRIM22;XAF1;ZBP1,0.686
EIF2AK2;IFI44;IFI44L;IFIT3;IFITM3,0.902
EIF2AK2;IFI44;IFI44L;IFIT3;PARP9,0.896
EIF2AK2;IFI44;IFI44L;IFIT3;PRIC285,0.926
EIF2AK2;IFI44;IFI44L;IFIT3;TRIM22,0.857
EIF2AK2;IFI44;IFI44L;IFIT3;XAF1,0.903
EIF2AK2;IFI44;IFI44L;IFIT3;ZBP1,0.897
EIF2AK2;IFI44;IFI44L;IFITM3;PARP9,0.893
EIF2AK2;IFI44;IFI44L;IFITM3;PRIC285,0.895
EIF2AK2;IFI44;IFI44L;IFITM3;TRIM22,0.755
EIF2AK2;IFI44;IFI44L;IFITM3;XAF1,0.907
EIF2AK2;IFI44;IFI44L;IFITM3;ZBP1,0.877
EIF2AK2;IFI44;IFI44L;PARP9;PRIC285,0.886
EIF2AK2;IFI44;IFI44L;PARP9;TRIM22,0.697
EIF2AK2;IFI44;IFI44L;PARP9;XAF1,0.905
EIF2AK2;IFI44;IFI44L;PARP9;ZBP1,0.903
EIF2AK2;IFI44;IFI44L;PRIC285;TRIM22,0.787
EIF2AK2;IFI44;IFI44L;PRIC285;XAF1,0.916
EIF2AK2;IFI44;IFI44L;PRIC285;ZBP1,0.888
EIF2AK2;IFI44;IFI44L;TRIM22;XAF1,0.871
EIF2AK2;IFI44;IFI44L;TRIM22;ZBP1,0.742
EIF2AK2;IFI44;IFI44L;XAF1;ZBP1,0.871
EIF2AK2;IFI44;IFIT3;IFITM3;PARP9,0.898
EIF2AK2;IFI44;IFIT3;IFITM3;PRIC285,0.919
EIF2AK2;IFI44;IFIT3;IFITM3;TRIM22,0.746
EIF2AK2;IFI44;IFIT3;IFITM3;XAF1,0.744
EIF2AK2;IFI44;IFIT3;IFITM3;ZBP1,0.829
EIF2AK2;IFI44;IFIT3;PARP9;PRIC285,0.907
EIF2AK2;IFI44;IFIT3;PARP9;TRIM22,0.708
EIF2AK2;IFI44;IFIT3;PARP9;XAF1,0.892
EIF2AK2;IFI44;IFIT3;PARP9;ZBP1,0.75
EIF2AK2;IFI44;IFIT3;PRIC285;TRIM22,0.771
EIF2AK2;IFI44;IFIT3;PRIC285;XAF1,0.925
EIF2AK2;IFI44;IFIT3;PRIC285;ZBP1,0.843
EIF2AK2;IFI44;IFIT3;TRIM22;XAF1,0.757
EIF2AK2;IFI44;IFIT3;TRIM22;ZBP1,0.716
EIF2AK2;IFI44;IFIT3;XAF1;ZBP1,0.746
EIF2AK2;IFI44;IFITM3;PARP9;PRIC285,0.911
EIF2AK2;IFI44;IFITM3;PARP9;TRIM22,0.707
EIF2AK2;IFI44;IFITM3;PARP9;XAF1,0.747
EIF2AK2;IFI44;IFITM3;PARP9;ZBP1,0.74
EIF2AK2;IFI44;IFITM3;PRIC285;TRIM22,0.757
EIF2AK2;IFI44;IFITM3;PRIC285;XAF1,0.923
EIF2AK2;IFI44;IFITM3;PRIC285;ZBP1,0.797
EIF2AK2;IFI44;IFITM3;TRIM22;XAF1,0.758
EIF2AK2;IFI44;IFITM3;TRIM22;ZBP1,0.74
EIF2AK2;IFI44;IFITM3;XAF1;ZBP1,0.739
EIF2AK2;IFI44;PARP9;PRIC285;TRIM22,0.73
EIF2AK2;IFI44;PARP9;PRIC285;XAF1,0.913
EIF2AK2;IFI44;PARP9;PRIC285;ZBP1,0.756
EIF2AK2;IFI44;PARP9;TRIM22;XAF1,0.67
EIF2AK2;IFI44;PARP9;TRIM22;ZBP1,0.742
EIF2AK2;IFI44;PARP9;XAF1;ZBP1,0.737
EIF2AK2;IFI44;PRIC285;TRIM22;XAF1,0.772
EIF2AK2;IFI44;PRIC285;TRIM22;ZBP1,0.495
