factor_name_list,factor_name_ROC
IFI44;IFI44L;IFIT3;XAF1,0.843
IFI44;IFI44L;IFIT3;ZBP1,0.881
IFI44;IFI44L;IFITM3;PARP9,0.779
IFI44;IFI44L;IFITM3;PRIC285,0.699
IFI44;IFI44L;IFITM3;TRIM22,0.611
IFI44;IFI44L;IFITM3;XAF1,0.719
IFI44;IFI44L;IFITM3;ZBP1,0.703
IFI44;IFI44L;PARP9;PRIC285,0.862
IFI44;IFI44L;PARP9;TRIM22,0.875
IFI44;IFI44L;PARP9;XAF1,0.874
IFI44;IFI44L;PARP9;ZBP1,0.844
IFI44;IFI44L;PRIC285;TRIM22,0.799
IFI44;IFI44L;PRIC285;XAF1,0.93
IFI44;IFI44L;PRIC285;ZBP1,0.916
IFI44;IFI44L;TRIM22;XAF1,0.81
IFI44;IFI44L;TRIM22;ZBP1,0.765
IFI44;IFI44L;XAF1;ZBP1,0.916
IFI44;IFIT3;IFITM3;PARP9,0.798
IFI44;IFIT3;IFITM3;PRIC285,0.741
IFI44;IFIT3;IFITM3;TRIM22,0.611
IFI44;IFIT3;IFITM3;XAF1,0.702
IFI44;IFIT3;IFITM3;ZBP1,0.696
IFI44;IFIT3;PARP9;PRIC285,0.81
IFI44;IFIT3;PARP9;TRIM22,0.814
IFI44;IFIT3;PARP9;XAF1,0.896
IFI44;IFIT3;PARP9;ZBP1,0.711
IFI44;IFIT3;PRIC285;TRIM22,0.843
IFI44;IFIT3;PRIC285;XAF1,0.902
IFI44;IFIT3;PRIC285;ZBP1,0.953
IFI44;IFIT3;TRIM22;XAF1,0.681
IFI44;IFIT3;TRIM22;ZBP1,0.809
IFI44;IFIT3;XAF1;ZBP1,0.884
IFI44;IFITM3;PARP9;PRIC285,0.779
IFI44;IFITM3;PARP9;TRIM22,0.82
IFI44;IFITM3;PARP9;XAF1,0.827
IFI44;IFITM3;PARP9;ZBP1,0.781
IFI44;IFITM3;PRIC285;TRIM22,0.705
IFI44;IFITM3;PRIC285;XAF1,0.75
IFI44;IFITM3;PRIC285;ZBP1,0.7
IFI44;IFITM3;TRIM22;XAF1,0.635
IFI44;IFITM3;TRIM22;ZBP1,0.635
IFI44;IFITM3;XAF1;ZBP1,0.697
IFI44;PARP9;PRIC285;TRIM22,0.875
IFI44;PARP9;PRIC285;XAF1,0.876
IFI44;PARP9;PRIC285;ZBP1,0.859
IFI44;PARP9;TRIM22;XAF1,0.913
IFI44;PARP9;TRIM22;ZBP1,0.874
IFI44;PARP9;XAF1;ZBP1,0.859
IFI44;PRIC285;TRIM22;XAF1,0.869
IFI44;PRIC285;TRIM22;ZBP1,0.808
IFI44;PRIC285;XAF1;ZBP1,0.92
IFI44;TRIM22;XAF1;ZBP1,0.836
IFI44L;IFIT3;IFITM3;PARP9,0.669
IFI44L;IFIT3;IFITM3;PRIC285,0.702
IFI44L;IFIT3;IFITM3;TRIM22,0.611
IFI44L;IFIT3;IFITM3;XAF1,0.695
IFI44L;IFIT3;IFITM3;ZBP1,0.698
IFI44L;IFIT3;PARP9;PRIC285,0.742
IFI44L;IFIT3;PARP9;TRIM22,0.603
IFI44L;IFIT3;PARP9;XAF1,0.714
IFI44L;IFIT3;PARP9;ZBP1,0.715
IFI44L;IFIT3;PRIC285;TRIM22,0.8
IFI44L;IFIT3;PRIC285;XAF1,0.9
IFI44L;IFIT3;PRIC285;ZBP1,0.928
IFI44L;IFIT3;TRIM22;XAF1,0.574
IFI44L;IFIT3;TRIM22;ZBP1,0.607
IFI44L;IFIT3;XAF1;ZBP1,0.905
IFI44L;IFITM3;PARP9;PRIC285,0.725
IFI44L;IFITM3;PARP9;TRIM22,0.724
IFI44L;IFITM3;PARP9;XAF1,0.796
