"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GTF2B",0.563503178922063,4.39321751577811,6.58781422380467,1.38497175372666e-09,5.07246740691426e-07,10.8374294111046
"NDC80",0.755712672427606,1.62541834741771,6.58778288184659,1.38518415117131e-09,5.07246740691426e-07,10.8372784460064
"TAF4",-0.40545927266738,2.11765776008879,-6.55482967460265,1.62725753625661e-09,5.81442148205026e-07,10.6787328364223
"C16orf5",-0.53617490927131,3.38613131301833,-6.55424597375901,1.63190165239976e-09,5.81442148205026e-07,10.6759277765517
"SMTNL1",2.3038953250593,2.95535973775748,6.54881510819852,1.6757433063244e-09,5.89101973527322e-07,10.6498344243347
"COLQ",-0.695703427386298,1.82529158772786,-6.53520821644834,1.7907575583572e-09,6.21251497153235e-07,10.584501670505
"IFI44L",3.71573219867014,4.9143469408188,6.52532547237015,1.87914330157168e-09,6.299083781098e-07,10.537089285665
"NUDT18",0.5402551122562,3.05623755876106,6.52450444506274,1.8866768855342e-09,6.299083781098e-07,10.533151897221
"IGFBP6",-0.270211417978079,0.307874388177927,-6.52442756752229,1.88738382275181e-09,6.299083781098e-07,10.5327832284105
"EIF2AK2",1.90756649858743,3.81938225715004,6.51790196837725,1.94835335015248e-09,6.42128555376503e-07,10.5014967880093
"IFIT3",2.570317403489,7.68124434958375,6.51454967433916,1.98042578552894e-09,6.44640818040199e-07,10.485430101815
"TMEM106A-AS1",0.324285083271536,1.29780947065596,6.5023145130391,2.10196570720797e-09,6.69358929964237e-07,10.4268224890589
"KLHL13",-0.0700492742580729,0.0854932100223028,-6.50180947927668,2.10713764647772e-09,6.69358929964237e-07,10.424404422642
"PLLP",-0.308167340019685,0.447008841560528,-6.48995540655695,2.23220392459239e-09,7.00646293759558e-07,10.3676729399157
"TNFSF10",1.09164498247693,6.69692799076424,6.4791553699851,2.35250952653789e-09,7.2972077854939e-07,10.3160277316041
"EMID2",-0.230618712907985,0.14777357425396,-6.47467646272063,2.40425802114964e-09,7.3710077890269e-07,10.2946215724789
